Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Brave,2012-06-21,70.0,"Animation,Adventure,Comedy,Family,Action,Fantasy", English,185000000.0,554606532.0,369606532.0
Monsters University,2013-07-11,70.0,"Animation,Family", English,200000000.0,743455810.0,543455810.0
Iron Man,2008-05-01,76.0,"Action,Science Fiction,Adventure", English,186000000.0,585171547.0,399171547.0
The Curse of La Llorona,2019-04-18,57.0,"Horror,Mystery,Thriller", English,9000000.0,123133739.0,114133739.0
Teenage Mutant Ninja Turtles,2014-09-11,59.0,"Science Fiction,Action,Adventure,Comedy", English,125000000.0,485004754.0,360004754.0
The Hobbit: An Unexpected Journey,2012-12-26,73.0,"Adventure,Fantasy,Action", English,200000000.0,1014938545.0,814938545.0
Spider-Man: Far From Home,2019-07-01,75.0,"Action,Adventure,Science Fiction", English,160000000.0,1132107522.0,972107522.0
The Hangover Part II,2011-05-25,65.0,Comedy, English,80000000.0,586764305.0,506764305.0
2012,2009-10-23,58.0,"Action,Adventure,Science Fiction", English,200000000.0,757677748.0,557677748.0
White Chicks,2004-12-30,69.0,"Comedy,Crime", English,20000000.0,111448997.0,91448997.0
Scream 2,1997-12-12,65.0,"Horror,Mystery", English,24000000.0,172363301.0,148363301.0
American Sniper,2015-01-22,74.0,"War,Action", English,58000000.0,547326372.0,489326372.0
Last Days in the Desert,2016-05-13,57.0,"Adventure,Drama,History", English,124600000.0,375161639.6,250561639.60000002
Scary Movie 5,2013-04-11,48.0,Comedy, English,20000000.0,78378744.0,58378744.0
Annabelle: Creation,2017-08-10,66.0,"Horror,Mystery,Thriller", English,15000000.0,305384865.0,290384865.0
Meet Joe Black,1999-03-11,73.0,"Fantasy,Drama,Romance", English,85000000.0,44650003.0,-40349997.0
Dawn of the Planet of the Apes,2014-07-09,73.0,"Science Fiction,Action,Drama,Thriller", English,170000000.0,710644566.0,540644566.0
Scream 4,2011-04-13,64.0,"Horror,Mystery", English,40000000.0,95989590.0,55989590.0
The Shawshank Redemption,1995-02-16,87.0,"Drama,Crime", English,25000000.0,28419159.0,3419159.0
Beauty and the Beast,1992-06-11,77.0,"Romance,Family,Animation,Fantasy", English,160000000.0,1268697483.0,1108697483.0
Terminator Genisys,2015-07-01,59.0,"Science Fiction,Action,Thriller,Adventure", English,155000000.0,440603537.0,285603537.0
Black Panther,2018-02-15,74.0,"Action,Adventure,Science Fiction", English,200000000.0,1336494320.0,1136494320.0
Batman v Superman: Dawn of Justice,2016-03-24,59.0,"Action,Adventure,Fantasy", English,263000000.0,872395091.0,609395091.0
A Monster Calls,2017-05-12,73.0,"Drama,Fantasy", English,43000000.0,46414530.0,3414530.0
Spider-Man,2002-06-06,73.0,"Fantasy,Action", English,139000000.0,821706375.0,682706375.0
Scary Movie 2,2001-10-18,58.0,Comedy, English,45000000.0,141189101.0,96189101.0
Wrong Turn 2: Dead End,2007-10-16,60.0,"Horror,Thriller", English,4000000.0,30361598.0,26361598.0
Knowing,2009-03-26,62.0,"Action,Mystery,Science Fiction,Thriller", English,50000000.0,186450317.0,136450317.0
Annabelle Comes Home,2019-06-27,64.0,"Horror,Mystery,Thriller", English,27000000.0,230779191.0,203779191.0
The Matrix,1999-04-08,82.0,"Action,Science Fiction", English,65000000.0,465974198.0,400974198.0
Despicable Me 2,2013-06-26,69.0,"Animation,Comedy,Family", English,76000000.0,975216835.0,899216835.0
Pacific Rim: Uprising,2018-03-22,61.0,"Action,Fantasy,Science Fiction,Adventure", English,155000000.0,290930148.0,135930148.0
Capturing Avatar,2010-11-16,78.0,Documentary, English,101700000.0,716719914.2,615019914.2
The Mummy,1999-06-24,69.0,"Adventure,Action,Fantasy", English,195000000.0,409953905.0,214953905.0
Scooby-Doo,2002-06-20,60.0,"Mystery,Adventure,Comedy", English,84000000.0,276294164.0,192294164.0
